,open,high,low,close,adjclose,volume,ticker
1972-06-01,0.0,0.8153463006019592,0.802992582321167,0.8153463006019592,0.18400175869464874,2458800,PFE
1972-06-02,0.8153463006019592,0.8178170323371887,0.802992582321167,0.8054633140563965,0.18177153170108795,1613900,PFE
1972-06-05,0.8054633140563965,0.807934045791626,0.7980510592460632,0.802992582321167,0.18121401965618134,2585300,PFE
1972-06-06,0.802992582321167,0.825229287147522,0.8005218505859375,0.8202877640724182,0.1851169914007187,2347500,PFE
1972-06-07,0.8202877640724182,0.8202877640724182,0.807934045791626,0.8202877640724182,0.1851169914007187,1032100,PFE
1972-06-08,0.8202877640724182,0.8227585554122925,0.8153463006019592,0.8153463006019592,0.18400175869464874,1067500,PFE
1972-06-09,0.8153463006019592,0.8227585554122925,0.8153463006019592,0.8202877640724182,0.1851169914007187,1563300,PFE
1972-06-12,0.8202877640724182,0.8351122736930847,0.8202877640724182,0.8227585554122925,0.18567459285259247,1942700,PFE
1972-06-13,0.8227585554122925,0.8351122736930847,0.8178170323371887,0.830170750617981,0.18734732270240784,2175500,PFE
1972-06-14,0.830170750617981,0.8351122736930847,0.825229287147522,0.830170750617981,0.18734732270240784,2069200,PFE
1972-06-15,0.830170750617981,0.8375830054283142,0.8202877640724182,0.8202877640724182,0.1851169914007187,2726900,PFE
1972-06-16,0.8202877640724182,0.8351122736930847,0.8104047775268555,0.8351122736930847,0.18846261501312256,2398100,PFE
1972-06-19,0.8351122736930847,0.8449952602386475,0.8326415419578552,0.8449952602386475,0.19069281220436096,1694800,PFE
1972-06-20,0.8449952602386475,0.8499367237091064,0.8400537371635437,0.8499367237091064,0.19180798530578613,2332300,PFE
1972-06-21,0.8499367237091064,0.8548782467842102,0.8400537371635437,0.8400537371635437,0.1895775943994522,2038900,PFE
1972-06-22,0.8400537371635437,0.847465991973877,0.8326415419578552,0.842524528503418,0.19013521075248718,2438500,PFE
1972-06-23,0.842524528503418,0.8449952602386475,0.8202877640724182,0.8400537371635437,0.1895775943994522,1482300,PFE
1972-06-26,0.8400537371635437,0.8400537371635437,0.8202877640724182,0.830170750617981,0.18734732270240784,1618900,PFE
1972-06-27,0.830170750617981,0.8375830054283142,0.8202877640724182,0.830170750617981,0.18734732270240784,2049000,PFE
1972-06-28,0.8277000188827515,0.8277000188827515,0.8178170323371887,0.8227585554122925,0.18567459285259247,1315400,PFE
1972-06-29,0.8227585554122925,0.8351122736930847,0.8178170323371887,0.8351122736930847,0.18846261501312256,1118100,PFE
1972-06-30,0.8351122736930847,0.8499367237091064,0.8326415419578552,0.8375830054283142,0.1890200525522232,2924200,PFE
1972-07-03,0.8375830054283142,0.8449952602386475,0.830170750617981,0.8400537371635437,0.1895775943994522,824600,PFE
1972-07-05,0.8449952602386475,0.864761233329773,0.8449952602386475,0.8548782467842102,0.19292309880256653,2904000,PFE
1972-07-06,0.8622905015945435,0.8746442198753357,0.8622905015945435,0.8721734881401062,0.19682623445987701,3895600,PFE
1972-07-07,0.8721734881401062,0.8845272064208984,0.8672319650650024,0.8845272064208984,0.19961398839950562,2119800,PFE
1972-07-10,0.8845272064208984,0.8968809247016907,0.882056474685669,0.8869979381561279,0.20017164945602417,3091200,PFE
1972-07-11,0.8869979381561279,0.8968809247016907,0.8869979381561279,0.8869979381561279,0.20017164945602417,2185600,PFE
1972-07-12,0.8869979381561279,0.8968809247016907,0.8845272064208984,0.8894686698913574,0.2007293701171875,2696600,PFE
1972-07-13,0.8845272064208984,0.8845272064208984,0.8598197102546692,0.864761233329773,0.1951534003019333,1113000,PFE
