,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1972-08-17,0.8944101929664612,0.9067639112472534,0.8919394612312317,0.8968809247016907,0.20240209996700287,2726900,PFE,0.13935052,0.18468645215034485,0.0,0.06305158138275146
1972-08-21,0.8795856833457947,0.8845272064208984,0.8672319650650024,0.8795856833457947,0.19849902391433716,1295200,PFE,0.14684543,0.18076887726783752,0.0,0.05165359377861023
1972-08-28,0.8548782467842102,0.8622905015945435,0.847465991973877,0.8524075150489807,0.1923655867576599,1436800,PFE,0.13668309,0.18692511320114136,0.0,0.05568249523639679
1972-09-18,0.8128755688667297,0.825229287147522,0.8054633140563965,0.8153463006019592,0.18468645215034485,728500,PFE,0.115870595,0.18076887726783752,0.0,0.06881585717201233
1972-09-19,0.8153463006019592,0.8326415419578552,0.8104047775268555,0.825229287147522,0.18692511320114136,849900,PFE,0.11867976,0.18244792520999906,0.0,0.06824535131454468
1972-09-21,0.8227585554122925,0.8326415419578552,0.8202877640724182,0.825229287147522,0.18692511320114136,1340700,PFE,0.11910936,0.18020921945571902,0.0,0.06781575083732605
1972-10-17,0.780755877494812,0.7881680727005005,0.780755877494812,0.7881680727005005,0.1785302609205246,2838200,PFE,0.1118998,0.19811818003654483,-0.06663046032190323,0.0
1972-11-30,0.8598197102546692,0.8721734881401062,0.8598197102546692,0.864761233329773,0.1968318670988083,1735300,PFE,0.12277899,0.19345766305923462,0.0,0.07405287772417068
1972-12-07,0.8795856833457947,0.8869979381561279,0.8746442198753357,0.8795856833457947,0.20020632445812225,1679700,PFE,0.13315772,0.19626949727535248,0.0,0.06704860925674438
1972-12-11,0.8894686698913574,0.8968809247016907,0.882056474685669,0.8919394612312317,0.20301814377307892,2064200,PFE,0.14608556,0.19908148050308228,0.0,0.05693258345127106
1972-12-13,0.8795856833457947,0.8795856833457947,0.8697026968002319,0.8721734881401062,0.19851906597614288,3440300,PFE,0.14520548,0.1957070380449295,0.0,0.05331358313560486
1972-12-29,0.847465991973877,0.8598197102546692,0.847465991973877,0.847465991973877,0.19289527833461761,1386200,PFE,0.12574632,0.1951448619365692,-0.06714895367622375,0.0
1973-01-05,0.8746442198753357,0.8869979381561279,0.8672319650650024,0.8795856833457947,0.20020632445812225,2570100,PFE,0.1320448,0.18502192199230194,0.0,0.06816151738166809
1973-01-18,0.8672319650650024,0.8771149516105652,0.8622905015945435,0.8672319650650024,0.19739437103271484,1168700,PFE,0.1420939,0.18727150559425354,0.0,0.05530047416687012
1973-01-24,0.8499367237091064,0.8573489785194397,0.8400537371635437,0.842524528503418,0.19177047908306122,2231100,PFE,0.1279171,0.19177047908306122,0.0,0.0
1973-01-29,0.8128755688667297,0.8227585554122925,0.8128755688667297,0.8128755688667297,0.18502192199230194,2018600,PFE,0.12535974,0.19289527833461761,-0.05966217815876007,0.0
1973-02-08,0.7980510592460632,0.8178170323371887,0.7955803275108337,0.8104047775268555,0.1844595968723297,1472200,PFE,0.12126368,0.19079285860061646,-0.06319591403007507,0.0
1973-03-12,0.864761233329773,0.864761233329773,0.8499367237091064,0.8573489785194397,0.19587311148643494,1239500,PFE,0.13186575,0.18176111578941345,0.0,0.06400735676288605
1973-03-13,0.8573489785194397,0.8622905015945435,0.8449952602386475,0.8548782467842102,0.19530858099460602,3030500,PFE,0.12238229,0.18119676411151883,0.0,0.07292629033327103
1973-04-09,0.7881680727005005,0.8005218505859375,0.780755877494812,0.7931095957756042,0.18119676411151886,2954600,PFE,0.11040981,0.17837433516979218,0.0,0.07078695297241211
1973-04-11,0.8104047775268555,0.825229287147522,0.8005218505859375,0.807934045791626,0.18458348512649536,3759000,PFE,0.11699363,0.18232563138008118,0.0,0.06758985668420792
1973-04-13,0.807934045791626,0.8104047775268555,0.7955803275108337,0.807934045791626,0.18458348512649536,1108000,PFE,0.12229118,0.18401893973350525,0.0,0.06229230761528015
