,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-08-06,2.2083332538604736,2.3125,2.1875,2.25,2.25,1243200,AMZN,4.9910684,2.3177082538604736,2.7410683631896973,0.0
1997-08-07,2.25,2.2604167461395264,2.125,2.1770832538604736,2.1770832538604736,2034000,AMZN,4.794127,2.375,2.6170437335968018,0.0
1997-08-18,2.0520832538604736,2.0520832538604736,1.96875,2.0416667461395264,2.0416667461395264,1784400,AMZN,4.291516,3.2395832538604736,2.2498490810394287,0.0
1997-08-19,2.09375,2.2083332538604736,2.0520832538604736,2.1666667461395264,2.1666667461395264,1003200,AMZN,4.544005,3.3020832538604736,2.377338171005249,0.0
1997-08-21,2.1354167461395264,2.171875,2.0729167461395264,2.1145832538604736,2.1145832538604736,624000,AMZN,4.294093,3.6874999999999996,2.1795098781585693,0.0
1997-09-05,2.5833332538604736,2.6666667461395264,2.4583332538604736,2.5,2.5,1908000,AMZN,4.151174,4.166666507720947,1.6511740684509277,0.0
1997-09-08,2.53125,3.0208332538604736,2.5,3.0,3.0,5648400,AMZN,3.7730713,4.041666507720947,0.7730712890625,0.0
1997-09-10,3.3125,3.328125,3.125,3.3020832538604736,3.3020832538604736,3866400,AMZN,2.946327,4.020833492279053,-0.3557562828063965,0.0
1997-09-12,3.1875,3.6979167461395264,3.15625,3.6875,3.6875,3333600,AMZN,3.5590868,4.015625,-0.12841320037841797,0.0
1997-09-15,3.6666667461395264,3.6770832538604736,3.0520832538604736,3.09375,3.09375,5583600,AMZN,3.1473715,4.125,0.053621530532836914,0.0
1997-09-17,3.4583332538604736,3.5,3.3333332538604736,3.40625,3.40625,2607600,AMZN,4.1190343,4.005208492279053,0.7127842903137207,0.0
1997-09-22,4.0,4.677083492279053,3.9479167461395264,4.5,4.5,16938000,AMZN,2.7368135,4.0,0.0,1.7631864547729492
1997-09-29,4.145833492279053,4.1875,3.9583332538604736,4.041666507720947,4.041666507720947,2371200,AMZN,5.413935,3.8229167461395264,0.0,-1.3722686767578125
1997-10-06,4.0,4.125,3.9427082538604736,4.125,4.125,2028000,AMZN,7.0885696,4.270833492279053,2.9635696411132812,0.0
